Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
C10,0603,1,10u,
C11,0603,1,100nF,
C12,0603,1,10n,
C13,0603,1,100n,
C14,0603,1,20p,
C15,0603,1,10u,
C16,0603,1,20p,
C17,0603,1,10uF,C2922480
C18,0603,1,100nF,
C19,0603,1,0.1uF,
C2,0603,1,100nF,
C20,0603,1,0.1uF,C1591
C21,0603,1,10uF,C2922480
C22,0603,1,100nF,
C23,0603,1,0.1uF,C1591
C24,0603,1,0.1uF,C1591
C25,0603,1,0.1uF,C1591
C26,0603,1,100nF,
C27,0805,1,22uF,
C28,0603,1,0.1uF,C1591
C29,0603,1,0.1uF,C1591
C3,0603,1,100nF,
C30,0603,1,0.1uF,
C31,0603,1,0.1uF,
C32,0603,1,0.1uF,
C33,0603,1,0.1uF,C1591
C34,0603,1,0.1uF,C1591
C35,0603,1,0.1uF,C1591
C36,0603,1,0.1uF,C1591
C37,0603,1,0.1uF,
C38,0603,1,0.1uF,C1591
C39,0603,1,0.1uF,C1591
C4,0603,1,100nF,
C40,0603,1,0.1uF,C1591
C5,0603,1,4.7uF,
C6,0603,1,10nF,
C7,0603,1,1uF,
C8,0603,1,1uF,
C9,0603,1,100nF,
D1,0603,1,LED,
"D10, D3, D4, D5, D6, D7, D8, D9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,8,SK6812SIDE-A,C2890037
D11,D_SMF,1,D_Schottky,
D12,D_SOD-123F,1,ESD9B3.3ST5G,
D2,0603,1,LED,
FB1,0603,1,120R,
"H10, H5, H6, H7, H8, H9",pad,6,MountingHole_Pad,
"H3, H4",solder_spot,2,MountingHole,
IC1,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBT6,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J2,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
J4,JST_SUR_BM03B-SURS-TF_1x03-1MP_P0.80mm_Vertical,1,Conn_01x03_MountingPin,
J5,GH_1x02,1,Conn_01x02,
L1,0805,1,3.3uH,C307744
L2,0603,1,L_Ferrite,
Q1,SOT-23,1,MMBT4403,C78864
R1,0603,1,2.3k,
R10,0603,1,10k,C98220
R11,0603,1,8.2k,C114637
R12,0603,1,330,
R13,0603,1,330,
R14,0603,1,2.2k,
R15,0603,1,2.2k,
R16,0603,1,R,
R17,0603,1,R,
R18,0603,1,100k,
R19,0603,1,100k,
R2,0603,1,5.1k,
R20,0603,1,100k,
R21,0603,1,100k,
R22,0603,1,100k,
R23,0603,1,100k,
R24,0603,1,0,
R25,0603,1,120,
R27,0603,1,100,
R29,0603,1,0,
R3,0603,1,5.1k,
R30,0603,1,100,
R31,0603,1,100,
R4,2512,1,330,C19866
R5,2512,1,330,C19866
R6,2512,1,330,C19866
R7,2512,1,330,C19866
R8,0603,1,100,C319953
R9,0603,1,100,C319953
U1,SOT-23-5,1,RS3236,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,
U3,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,ch343p,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MT6701-CT,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,HX711,C43656
U6,SOT-23-5,1,SN74LV1T34DBV,C100024
U7,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias_LargerViaHoles,1,TMC6300,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,8Mhz 20pf ,
