Designator,Mid X,Mid Y,Rotation,Layer
C1,-6.800816,52.106914,135.0,top
C10,-21.702593,3.420556,0.0,bottom
C11,-47.027593,29.720556,0.0,bottom
C12,-21.702593,2.020556,0.0,bottom
C13,-24.202593,6.220556,270.0,bottom
C14,-21.777593,9.020556,180.0,bottom
C15,-21.797593,10.320556,180.0,bottom
C16,-26.627593,38.320556,270.0,top
C17,-24.427593,38.320556,270.0,top
C18,22.336407,49.870556,180.0,top
C19,8.322102,6.427358,90.0,top
C2,-7.100816,48.306914,225.0,top
C20,-17.327593,36.320556,0.0,top
C21,-17.327593,40.220556,0.0,top
C22,-40.635093,13.710556,0.0,top
C23,-12.427593,32.970556,90.0,top
C24,-14.627593,32.995556,90.0,top
C25,-16.727593,32.970556,90.0,top
C26,-40.653843,12.260556,0.0,top
C27,-3.3,32.4,180.0,top
C28,-35.5,-4.7,90.0,top
C29,39.0,-1.7,0.0,top
C3,25.536407,53.370556,270.0,top
C30,-3.575,30.5,180.0,top
C31,10.0,30.3,90.0,top
C32,11.1,33.3,180.0,top
C33,39.1,10.8,0.0,top
C34,-36.9,-13.1,270.0,top
C35,38.9,32.5,0.0,top
C36,-27.6,-13.2,270.0,top
C37,0.9,28.4,180.0,top
C38,-9.1,-13.4,270.0,top
C39,-18.5,-13.6,270.0,top
C4,7.772407,46.808056,0.0,bottom
C40,38.875,22.7,0.0,top
C41,-32.127593,22.620556,0.0,top
C42,7.747407,59.920556,0.0,top
C43,8.572407,65.820556,180.0,top
C44,-0.142593,51.760556,0.0,bottom
C45,-3.427593,58.520556,90.0,top
C46,-3.152593,38.460556,0.0,bottom
C47,-0.027593,48.233056,0.0,bottom
C48,-0.177593,54.360556,0.0,bottom
C49,-3.152593,40.035556,0.0,bottom
C5,7.797407,45.298056,0.0,bottom
C50,13.847407,42.560556,0.0,top
C51,1.4,40.2,0.0,bottom
C52,12.947407,57.760556,90.0,top
C53,-0.152593,53.060556,0.0,bottom
C54,-14.627593,37.695556,270.0,top
C55,-12.427593,37.695556,270.0,top
C56,-26.627593,33.620556,90.0,top
C57,14.247407,57.760556,270.0,top
